smiles,lipo
Fc1ccc(C2CCN(CC2)C(=O)COCc3ccncc3)c(Cl)c1,2.7
CNc1c(Cl)cnc2[nH]c(nc12)c3ccc(OCCN4CCOCC4)cc3,2.63
CCC(N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4ccc(Cl)cc4,2.32
C[C@H](CO)N1C=Cc2c(NC(=O)Cc3ccc(Cl)c(c3)C(F)(F)F)cccc2C1=O,3.49
Fc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1,3.2
C[C@@H]1CN(CCN1c2ncc(OCC3CCN(CC3)S(=O)(=O)C)cn2)C(=O)OC(C)(C)C,3.5
CCOc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1,2.55
COC(=O)N1CCN([C@H](CN2CCCC2)C1)C(=O)Cc3ccc(Cl)c(Cl)c3,2.05
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)C4=CNC(=O)c5ccccc45)cc1Cl,3.51
CCOc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1,3.6
O=C1NC=Cc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6ccccn6)cc3)c(cc12)c7ccccc7,3.9
COc1cc(OC)c(cc1NC(=O)C)S(=O)(=O)N2C(C)CCc3ccccc23,1.97
COCCCc1cc(Nc2ccnc(NCc3onc(C)c3)n2)n[nH]1,2.04
Cc1c(c2c(NS(=O)(=O)C)cccc2n1CC(=O)O)S(=O)(=O)c3ccc(Cl)cc3,-0.83
COc1cc(cc(OC)c1OC)c2nnc(S)n2c3cccc(c3)C(F)(F)F,2.27
COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,3.9
CNC(=O)Nc1cc(sc1C(=O)N)c2ccccc2,2.71
Clc1ccc(CNc2nc(nc3ncccc23)N4CCN(CC4)C(=O)[C@H]5CCCCN5)c(Cl)c1,2.27
Cc1nc2c(cnn2c(O)c1Cc3ccccc3)C#N,0.68
CC(C)C(NC(=O)CN1C(=O)C(=CN=C1c2ccc(F)cc2)NC(=O)OCc3ccncc3)C(=O)C(F)(F)F,2.22
COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)O)c2cc1OC,0.84
C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2cccc(CN3CCOCC3)c2)c4ccccc4)C(C)(C)C,0.29
COc1ccc2N=CC(=O)N(CCN3CC[C@@H](NCc4ccc5OCC(=O)Nc5n4)[C@@H](O)C3)c2c1,0.37
NC1=NC2(CCN(CC2)C(=O)c3ccc(cc3)C#N)Nc4c(F)ccc(F)c14,0.86
O[C@@H](CNCCc1ccccc1CNCCc2ccccc2F)c3ccc(O)c4NC(=O)Sc34,1.58
CC(=O)Nc1ccccc1C,1.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(=O)N,3.42
OC(=O)COc1ccc(Cl)cc1CN2CCN(CC2)S(=O)(=O)Cc3ccccc3,0.33
CNc1nc(C)c(s1)c2nc(Nc3cccc(c3)N4CCCNCC4)ncc2C#N,1.64
Oc1ccnc2ccccc12,0.8
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN4CCCCC4,4.1
NCc1nc2ccccc2[nH]1,0.4
OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,-0.84
Cc1cccc(CN2C=CN3C(=O)C=C(N=C23)N4CCOCC4)c1,2.8
CN(C)CC(O)COc1ccc(Nc2cc(ncn2)N(CCC#N)c3cc(Cl)ccc3Cl)cc1,2.1
OCCO[C@H]1C[C@H]([C@H](O)[C@@H]1O)n2nnc3c(N[C@@H]4C[C@H]4c5ccc(F)c(F)c5)nc(SCCC(F)(F)F)nc23,4.17
COc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,1.4
CN1CCN(CC1)C(=O)c2cccc(CC3=NNC(=O)c4ccccc34)c2,0.92
CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cccc(Cl)c3)n2)cc1,2.5
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,2.93
C(Cc1ccccc1)NCc2ccccc2,1.65
Fc1cc(Cl)ccc1N2CCN(CC2)C(=O)COCc3ccncc3,2.55
Clc1ccc(cc1)c2c[nH]nn2,2.97
Cc1cc(C(=O)CN2C=C(C=CC2=O)C(F)(F)F)c(C)n1Cc3ccccc3,3.46
CS(=O)(=O)N1CCc2c1nc(nc2c3cnc(N)nc3)N4CCOCC4,1.2
O=C1NCCc2[nH]c(cc12)c3ccncc3,1.49
CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N,2.1
CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc4ccccc24)c(O)c1,0.77
CCCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,-0.79
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,3.37
CCOc1ccccc1c2ccc(cc2)c3nc4ccc(F)cc4c(N[C@H](C)C(=O)O)c3C#N,2.5
CCN1CCN(CC1)C(=O)c2cc3ccccc3[nH]2,1.95
CNc1nc2ccccc2n1Cc3sc4N(CC(C)C)C(=O)N(C)C(=O)c4c3C(=O)N5C[C@H](O)CO5,1.77
Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(Cl)c2,1.8
O=C1CCOc2nc(OCc3ccccc3)ccc12,3.1
C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)C(=O)OCC(F)(F)F,3.0
Cc1cccc(n1)c2nc3cc(Cl)ccc3[nH]2,4.1
COc1ccc(cc1)c2nc(N)s[n+]2c3ccccc3,2.19
CC[C@@H](CO)Nc1nc(SCc2ccccc2)nc3nc(N)sc13,2.99
Cc1cc(CNc2ncc(Br)c(Nc3cc(C)[nH]n3)n2)on1,2.92
Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4,3.41
CCCCCCN1CC[C@@]2(C)[C@@H](C)C1Cc3ccc(O)cc23,2.5
O=C1NC=Nc2[nH]ncc12,-0.42
COC(=O)c1ccc(CN2NC(=O)C3=C(C2=O)C(=O)c4ccc(Cl)cc4N3)cc1,1.17
Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2,2.67
Cc1cc(CN2Cc3ccccc3C2C(=O)Nc4cc(Cl)ccc4Cl)ccc1OCC(=O)O,2.19
COc1cccc2c1c(NS(=O)(=O)c3ccc(Cl)s3)nn2Cc4cccc(CNC(=O)C(C)(C)O)c4,2.09
CC(C)Oc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1,2.97
c1ccc2[nH]c(nc2c1)c3cscn3,2.35
OC(=O)[C@H](Cc1ccc(NC(=O)Cc2ccc3CCCNc3n2)cc1)NC(=O)c4c(Cl)cccc4Cl,-0.63
CN1CCCC1CCNC(=O)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,2.01
Cn1cnc2c(c3ccc(cc3)C4(N)CCC4)c(ccc12)c5ccccc5,2.5
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,2.88
COc1cc(OC2CCN(C)CC2)c3c(Nc4c(Cl)ccc5OCOc45)ncnc3c1,2.98
OC(=O)c1c(C#N)c2ccccc2n1Cc3ccc(Cl)c(Cl)c3,1.26
COc1ccc2CCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,0.66
C[C@@H](NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,3.3
CCCc1nc2c(C)cc(cc2n1Cc3ccc(cc3)c4ccccc4C(=O)O)c5nc6ccccc6n5C,2.21
CSc1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,2.97
CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(C)ccc3Cl)n2)cc1,2.6
CCCCC(NC(=O)CC1CCN(Cc2ccn(c2)c3ccc(cc3)C(F)(F)F)CC1)C4=CNC(=O)C=C4,2.89
NC(=N)Nc1ccc(Cl)c(Cl)c1,-0.31
C(=C\c1c(nc2sccn12)c3ccccc3)/c4ccncn4,3.4
Clc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,2.59
