smiles,u0_atom
[H]OC([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])[H],-0.088626194
[H]C([H])([H])N(C([H])([H])[H])C1([H])C([H])([H])C1([H])[H],-0.291057697
[H]C1([H])N2C3([H])C([H])([H])C([H])(C3([H])[H])C21[H],-0.306760495
[H]N1C(=O)N([H])C([H])([H])C([H])([H])C1([H])[H],0.761837362
[H]C#CC([H])([H])C([H])(O[H])C([H])=C([H])[H],-0.015810075
[H]C(=C([H])C([H])([H])N([H])C([H])([H])[H])C([H])([H])N([H])[H],-1.076152747
[H]C#CC([H])(C([H])([H])[H])C([H])([H])C([H])([H])N([H])[H],-0.97148238
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])[H],-1.3680902
[H]C1SC(=O)N([H])C=1C([H])([H])[H],0.974542981
[H]C1OC([H])([H])C2([H])N([H])C2([H])C=1[H],0.448544103
[H]N(C([H])([H])C#N)C1([H])C([H])([H])C1([H])[H],0.11932372
[H]N1C([H])([H])C1([H])C([H])(OC([H])([H])[H])C([H])([H])[H],-0.717859755
[H]C([H])([H])C([H])([H])C1([H])OC([H])([H])C1([H])[H],-0.017694411
[H]C1=NC2([H])C([H])([H])C([H])(N1[H])C2([H])[H],0.073381819
[H]C#CC1(O[H])C([H])([H])OC1([H])[H],0.919493457
[H]O[N][C]([H])C#CC([H])=C([H])[H],-0.070455813
[H]C#CC1([H])ON=C([H])O1,2.129147308
[H]N=C([H])N([H])C1([H])C([H])([H])OC1([H])[H],0.396814599
[H]C(=O)C([H])([H])C1([H])OC([H])([H])C1([H])[H],0.139602763
[H]OC1=C([H])SC([H])=C1N([H])[H],-0.018681444
[H]OC([H])([H])C(OC([H])([H])C([H])([H])[H])=C([H])[H],-0.467512285
[H]N(C([H])([H])[H])S(=O)(=O)C([H])([H])C([H])([H])[H],1.366215636
[H][C]([H])[N]N([H])C([H])(C#N)C([H])([H])[H],0.747031866
[H]OC([H])(C([H])([H])N([H])[H])C1([H])N([H])C1([H])[H],0.134263811
[H]C([H])=C(C([H])=C([H])C#N)C([H])([H])[H],-1.070858661
[H]C([H])([H])C([H])([H])C([H])([H])C1([H])OC1([H])[H],-0.002619725
[H]C1([H])C(=O)C([H])([H])C2([H])C([H])([H])C12[H],-0.233405995
[H]C1([H])C(=O)OC2([H])C([H])([H])C12[H],0.622441378
[H]OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1.997862142
[H]C(=O)C(=C([H])N([H])[H])C([H])([H])C([H])([H])[H],-0.261805627
[H][N]C1=C([C]([H])[H])C([H])=C([H])N1[H],0.430508318
[H]C([H])=C([H])C(C#N)=C([H])C([H])([H])[H],-0.518075295
[H]C([H])=C([H])C([H])(C([H])=C([H])[H])N([H])C([H])([H])[H],-0.995889015
[H]C([H])=C(OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-1.369346424
[H]OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],0.236646056
[H]C([H])([H])OC([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-1.969058723
[H]N([H])C([H])([H])C1([H])N([H])C1([H])C([H])([H])C([H])([H])[H],-1.63790914
[H]C1=C(C([H])([H])N([H])[H])C([H])([H])N([H])C1([H])[H],-0.521395316
[H]N([H])C([H])([H])C1([H])N(C([H])([H])[H])C1([H])[H],0.278953881
[H]C([H])=C1N([H])C(=O)OC1([H])[H],1.097383729
[H]OC([H])([H])C([H])([H])C(C([H])=O)=C([H])[H],0.098551161
[H]C1=C(C(=O)N([H])C1([H])[H])C([H])([H])[H],0.2167708
[H]C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-0.93069997
[H]C([H])=C([H])N(C(=S)N([H])[H])C([H])([H])[H],-0.102175466
[H]N(C([H])([H])[H])C([H])([H])C1([H])N([H])C([H])([H])C1([H])[H],-1.043580657
[H]C#CS([O])([O])OC([H])([H])[H],1.531857725
[H]OC(=O)C([H])([H])N([H])C([H])([H])C([H])([H])[H],-0.047978379
[H]C(=O)C(=C([H])[H])C([H])([H])C([H])([H])[H],0.529839733
[H]OC1C(O[H])=C([H])N([H])C=1[H],1.638861079
[H]C#CC(C(=O)C([H])([H])[H])=C([H])[H],0.540383041
[H]C1=C([H])N(C(=O)N1[H])C([H])([H])[H],0.762555204
[H]C#CC([H])(O[H])C([H])(C([H])([H])[H])C([H])([H])[H],-0.659221019
[H]C(=C([H])C1([H])OC1([H])C([H])([H])[H])C([H])([H])[H],-0.70018289
[H]C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],-2.269565418
[H]C([H])([H])C([H])(C([H])([H])[H])C1([H])OC1([H])[H],-0.006208936
[H]C1=C([H])C([H])(OC([H])([H])[H])C([H])([H])C1([H])[H],-0.766852486
[H]C([H])([H])N=C(N1C([H])([H])C1([H])[H])C([H])([H])[H],-0.430678006
[H]C(=C([H])C([H])([H])N([H])[H])C([H])([H])OC([H])([H])[H],-0.743343153
[H][N][C]([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-0.598832544
[H]OC([H])(C#N)C([H])=C([H])C([H])([H])[H],0.400044889
