smiles,heat_capacity
CC1C=CC(C)(O)C1C,38.86
OC1CC2CC2C(O)C1,34.305
COC1C(=O)C=CC1=O,29.513
COc1ccc(nc1)N,31.1
c1c(cn[nH]1)C2COC2,27.773
OCC1C(C#N)N1C=O,31.176
CC1(O)C2CCC1OC2,32.562
c1c(ncnc1N)N,26.799
OCC1OCOC2CC12,31.134
CC1C2C(O)C2CC1=O,32.666
CN1C2CC1(C#N)C2N,32.882
CC(CO)C1CCC1O,38.447
CN=C1CC(C)(O1)C#C,35.11
CC(C)C1CC(N1)C#N,35.817
COC(=O)C(C)C(C)O,38.924
O=C1CCCC2(CO2)C1,31.076
CC(OC1CC1C)C#C,38.058
OC1C2COC2C1C=O,29.387
c1c(nc[nH]1)C2(CC2)O,30.672
CC1CCC(CC=O)C1,35.874
CC12CC(COC1=N)N2,30.792
CC(=O)N1C=NOC1=N,28.606
O=C1CN2CC2C11CO1,28.169
CC1C=CC(=O)C11CO1,30.34
C1C2CC3CCCC12O3,29.84
CC(=O)NC1CCC1,31.344
CC1OC2CC1(O)C=C2,31.803
OC1(CC=O)COC1=O,30.069
OC12CCC1CC2=O,27.82
CN1CC1(CC#N)C#N,32.252
C1C=CC(=O)CNC1=O,29.438
OCC1C(O)C1OC=N,34.012
CC(C)C(C)(C)CCO,44.961
OCC(O)(CC=O)C=O,34.52
CC1=CC23COC2C1O3,29.553
OC12C3CC1C(=N)OC23,28.116
CC(C)(CCOC)OC,42.497
COC12CC3C4C1C2N34,28.588
OC1CC(=O)N2CCC12,29.911
N=C1CC(CO1)OC=O,29.31
N=C1CC2N=COC2O1,25.392
CC(C#N)C1CCOC1,33.025
COC1(C)C2CCC12O,36.662
OC12CC(=O)C3NC1C23,28.671
NC1=C(OC(=N)O1)C#C,30.415
C#CCOC(=O)NC=O,31.39
C#CC(=O)CCC1CC1,35.028
[O-]C(=O)C1CC=CC[NH2+]1,30.154
CN(C=O)C(=N)CC#C,34.401
C1CC2OC(O1)C=C2,23.805
CC12CC3OCCN1C23,30.575
CC1NC(=O)OC1CO,32.407
CC(C)CC(CO)C#C,41.108
[O-]C(=O)C1C2NC(=[NH2+])C12,27.468
CNc1c[nH]cc1C#N,31.361
C1NC11CC=CC2OC12,29.163
C(COC(=O)C=O)O,28.619
c1c(ocn1)NCC#N,27.631
CC1C2C1C1CC2O1,26.477
CC12CC1OC(C2)C#N,31.291
CC12CC3(COC13)OC2,30.443
O=C(C#C)C1C2CC1O2,29.174
CC1C(=O)CC1(O)C=O,34.088
OC1CNC1C(=O)C=O,31.04
O=CC12OC1CNC2=O,27.79
CC1C(C=O)C1C1CC1,35.176
Cc1coc(=O)cc1F,28.403
CC(CCO)C1(C)CC1,41.061
CCC12CC1CCCO2,34.966
O=C1CC=C2CCCC12,29.803
CC1CC2OC2C(=O)C1,31.394
CC(C1CN1)C(=O)C#C,34.662
Cc1ncc(c(=O)o1)N,30.313
O=C1OCC11CN=CN1,27.116
CC(COCC#N)C#C,35.722
Cc1c(oc(=O)n1C)O,32.622
CC(CC=O)C1CC1O,37.098
OC1C(OC=O)C1C#N,30.403
CC1=CC(=O)C2COC12,29.175
OC1C2C3OC1C23C#N,26.846
OC1CC23CC(CO2)C13,29.239
N#CC1C2OC=NC12,22.13
N#CC12C3CN4C(C13)C24,25.256
OC12CC1(NC2=N)C#C,32.204
O=C1C2OC2C1C#C,25.302
O=C1CCCC2(CO2)C1,31.076
CC12CC3C4CC4N1C23,29.884
CC1(C)NC1(C=O)C#N,34.344
CC1CCCC1(O)C=O,36.03
C#CC(CC=O)C#C,30.894
OC1CCC1(O)C#C,31.384
C1C2C3C4=CCOC13C24,30.149
C1C2OC3CC4OC1C234,28.307
CC12CC=CC1(N2)C=O,31.643
CC(=O)OC(CN)C#N,34.612
CC(O)C1OCC1(C)C,39.281
CC1(C)CC2C(=O)CN12,33.813
CC1OC(C)C1CC=O,35.802
COC(C)C(O)C1CN1,38.09
Cn1c(nc(n1)C#C)N,31.401
CCN1CCC1CC#N,34.89
CC12CC(O1)C=CC=C2,30.735
[O-]C(=O)C1=CNC(=[NH2+])N1,29.606
O=C1CCC2C3CC1C23,28.685
OC1CC(O)(CC#N)C1,34.209
CC#CC1C2OCC12O,33.051
CC(CCO)C(O)C#N,38.108
OC1CC=CC2CC1O2,29.899
CC1=CNC(=O)NC1=N,30.363
CC1=C(O)C(=N)NN=C1,30.235
Cc1[nH]c2c(n1)COC2,29.043
N#CC12COC3C1CC23,26.564
COCC1OCC1=NO,33.653
CC1(O)C2CC2C1(C)O,37.288
CC12C3CC1=CCC23O,32.404
CN1C2CC(O)C12,25.937
CCCC(OC)C(C)O,42.141
NC1C2CN(C2)C1C#N,30.069
CC1CC2(CC12)C#N,28.586
CC1=COC(=N)C(N)=N1,31.73
CC1CNC(=O)C(C)=C1,34.152
CC1COC2=C1NN=C2,28.65
O=C1OC2C3C2C2C3N12,23.946
COC(C#N)C(N)=N,30.796
CC1C2C3C4OC3C4N12,27.883
CCC1CCC(C)=C1C,39.246
CC(O)(C[NH3+])C([O-])=O,32.069
CC1(O)CC(N)=CC1=O,34.715
CC1CC=CC2OC12C,34.122
COc1nc(co1)CO,31.081
OCCC(O)(C=O)C#C,37.148
c1c2c(c([nH]1)N)CCC2,31.449
CC1CN2N=NC=C2N1,27.993
C1C2COCC3NC3C12,30.117
CC1C=CC(O)CC1O,35.885
Cc1c([nH]c(c1N)O)C,36.765
CC1NC2(CC12O)C#N,33.041
CCC1(CC1)C(=O)N,33.324
CC1C2CC=CC12CO,34.669
CC(C#N)C1CC(=O)O1,30.759
C1CC2(CC2)C(=O)OC1,30.605
CC1C2NC2C11COC1,31.687
OC1C2(O)CCCC12O,35.212
CC12CC(C1C=O)C2=O,31.029
CC12CC(=O)C1COC2,31.424
c1c(oc(=O)c(n1)F)N,27.558
CC1=CC2(C)COC2C1,33.644
OC(CC#CC=O)C#N,32.251
O=C1CC2C3C4C1C2N34,24.881
CC1CN(C=O)C(C)=N1,33.063
CCOCC(O)CO,34.966
CC1(O)CC(O)C11CO1,35.631
COC1CC2OCC12O,33.233
CC1OC=NCC11CN1,31.267
CC1(C)C2CCC2C1=O,34.566
N=C1OC2COC1C2,23.358
CC12CC1OC(=O)C2N,32.114
CN=C1OC=CC(N)=C1,32.224
N=C1OC2CC(=O)C1O2,25.55
C1CC1(C(=O)N2CC2)O,32.972
NCC1(CCN1)C#N,29.878
CCC1CN1C(=O)CO,35.405
C1C2C3C4C1C2N34,18.771
O=C1CC2C(CC12)C#N,28.832
C1C=CC(=O)NC(=O)N1,28.237
O=C1NC23CC2(CC3)N1,28.818
CN1C=CC(=N1)C1CO1,29.576
CC1(C)CC2OC1C2=O,32.353
O=CCOC(C#C)C#N,32.259
c1c(c(=O)[nH]nn1)F,21.377
O=CC12CC=CCC1N2,30.029
C1CC2CC3OC3CC12,30.169
Cc1c[nH]c2c1[nH]nc2,28.971
CC(O)C1CC1N1CC1,36.804
C1CC1COCC2CC2,35.905
OC1CC1(OC=N)C#C,34.082
CC1(O)C2OCCOC12,33.013
c1c([nH]nc1O)CC=O,29.857
Cc1[nH]nc(n1)NC=O,29.218
N=C1CC(O1)C#CC=O,29.294
CNC(=O)C1C2CCN12,32.365
OC12CC1C1CCC2C1,30.956
CNC(=O)c1c[nH]cn1,29.803
CC1CC(CO)C1C,35.064
CC1(C)CC1N1CC1,33.461
NC1=NCC2(O)COC12,30.923
CNC(C)(CC=O)C#N,36.923
CN(C)C(=O)C1CC1O,35.506
C1CC1C2CC3(C2)CC3,34.679
c1cc(cnc1)NC=O,27.01
CNC1=NC=NNC1=N,29.959
CC1OC(=O)C1C1CC1,32.354
CC(OC=O)C#C,26.632
O=CC1C2C3CCN1C23,28.05
ON=C1C2CC1CC2,27.008
C#CCC12CC1C1CN21,31.804
CC1CC(C1)OC1CC1,35.946
CC(C)C1CC1C,32.44
CC1CN2N=NC=C2C1,28.343
NC1C2OCC12C#N,26.669
N#CCC12C3C4C3N1C24,26.868
CC1(O)CC1(O)C(N)=O,36.39
CCCOC1CC1C#C,37.356
CCC(CO)C(=O)CO,38.562
C1CC1Cc2n[nH]nn2,28.421
COc1c(cn[nH]1)C=O,29.289
OC12CCCC1CC=C2,32.065
CC#CCC(C)CC#C,39.683
CC1OC2C(O)C12C#N,31.125
CC(C)N(C)C(=O)C=O,37.154
COC1(C)CC1C#N,31.36
CC(C)(C)C12CC(C1)C2,38.229
OC1CN=C2NCC=C12,29.478
CC1C(OC1=O)C#N,26.012
CC1CC(CC=O)O1,30.329
Cc1coc(=O)nc1C,30.58
C1C=CC2NC2C=C1,26.412
CC1(O)CCCC1(C)O,39.225
CN1N=CN=C(F)C1=N,27.635
