FUNC model.Outer_EGCN_elastic.forward 708.8672 1742662662.4179 981.0664 1742662662.5534 0
FUNC .integrating 977.2305 1742662662.5534 981.0664 1742662662.5534 1
CMDLINE C:\Programming\anaconda3\envs\cuda5\python.exe exec_reg_freesolv.py
MEM 1.980469 1742662657.2842
MEM 25.066406 1742662657.3951
MEM 36.460938 1742662657.5063
MEM 45.546875 1742662657.6173
MEM 218.972656 1742662657.7280
MEM 249.386719 1742662657.8392
MEM 278.628906 1742662657.9525
MEM 312.703125 1742662658.0525
MEM 326.984375 1742662658.1642
MEM 331.550781 1742662658.2759
MEM 342.921875 1742662658.3861
MEM 353.906250 1742662658.4863
MEM 361.265625 1742662658.5865
MEM 369.906250 1742662658.6874
MEM 370.984375 1742662658.8028
MEM 379.980469 1742662658.9030
MEM 394.691406 1742662659.0036
MEM 402.875000 1742662659.1040
MEM 410.949219 1742662659.2041
MEM 413.417969 1742662659.3169
MEM 418.417969 1742662659.4278
MEM 435.976562 1742662659.5382
MEM 446.359375 1742662659.6491
MEM 451.347656 1742662659.7607
MEM 466.570312 1742662659.8723
MEM 482.433594 1742662659.9830
MEM 498.304688 1742662660.0946
MEM 513.570312 1742662660.2060
MEM 516.222656 1742662660.3164
MEM 522.171875 1742662660.4276
MEM 533.023438 1742662660.5381
MEM 544.257812 1742662660.6497
MEM 620.183594 1742662660.7610
MEM 679.246094 1742662660.8719
MEM 680.140625 1742662660.9825
MEM 681.136719 1742662661.0938
MEM 681.632812 1742662661.2046
MEM 682.203125 1742662661.3155
MEM 683.093750 1742662661.4264
MEM 684.078125 1742662661.5382
MEM 684.761719 1742662661.6487
MEM 685.023438 1742662661.7590
MEM 685.593750 1742662661.8695
MEM 685.890625 1742662661.9805
MEM 686.828125 1742662662.0910
MEM 695.339844 1742662662.2012
MEM 697.789062 1742662662.3127
MEM 722.660156 1742662662.4240
MEM 936.289062 1742662662.5346
MEM 981.187500 1742662662.6447
MEM 981.390625 1742662662.7562
MEM 981.554688 1742662662.8834
MEM 828.546875 1742662663.0005
