CMDLINE C:\Programming\anaconda3\envs\cuda5\python.exe exec_reg_freesolv.py
MEM 2.054688 1742662674.8469
MEM 24.042969 1742662674.9569
MEM 35.031250 1742662675.0671
MEM 44.492188 1742662675.1773
MEM 178.617188 1742662675.2878
MEM 241.082031 1742662675.3987
MEM 260.675781 1742662675.5038
MEM 302.578125 1742662675.6179
MEM 321.570312 1742662675.7283
MEM 328.984375 1742662675.8386
MEM 340.246094 1742662675.9490
MEM 352.625000 1742662676.0523
MEM 360.851562 1742662676.1528
MEM 369.035156 1742662676.2684
MEM 369.839844 1742662676.3684
MEM 378.769531 1742662676.4686
MEM 393.144531 1742662676.5693
MEM 402.718750 1742662676.6698
MEM 410.968750 1742662676.7848
MEM 413.558594 1742662676.8970
MEM 416.968750 1742662677.0080
MEM 433.890625 1742662677.1189
MEM 444.261719 1742662677.2296
MEM 452.859375 1742662677.3411
MEM 465.257812 1742662677.4518
MEM 482.808594 1742662677.5619
MEM 502.093750 1742662677.6715
MEM 513.957031 1742662677.7826
MEM 517.292969 1742662677.8934
MEM 522.976562 1742662678.0033
MEM 535.492188 1742662678.1143
MEM 545.816406 1742662678.2250
MEM 620.003906 1742662678.3364
MEM 679.109375 1742662678.4470
MEM 679.781250 1742662678.5581
MEM 680.636719 1742662678.6686
MEM 681.089844 1742662678.7800
MEM 681.593750 1742662678.8910
MEM 682.605469 1742662679.0019
MEM 683.281250 1742662679.1121
MEM 684.171875 1742662679.2232
MEM 684.507812 1742662679.3336
MEM 685.070312 1742662679.4446
MEM 685.621094 1742662679.5554
MEM 686.316406 1742662679.6659
MEM 691.445312 1742662679.7769
MEM 695.511719 1742662679.8882
MEM 704.871094 1742662679.9990
MEM 791.269531 1742662680.1089
MEM 976.449219 1742662680.2183
MEM 976.449219 1742662680.3299
MEM 976.449219 1742662680.4417
MEM 976.449219 1742662680.5540
MEM 976.449219 1742662680.6653
MEM 976.449219 1742662680.7765
MEM 976.449219 1742662680.8885
MEM 976.449219 1742662681.0000
MEM 976.449219 1742662681.1123
MEM 988.964844 1742662681.2252
MEM 1167.988281 1742662681.3355
MEM 1167.988281 1742662681.4453
MEM 1167.988281 1742662681.5571
MEM 1167.988281 1742662681.6698
MEM 1167.988281 1742662681.7812
MEM 1167.988281 1742662681.8936
MEM 1167.988281 1742662682.0066
MEM 1167.988281 1742662682.1181
MEM 1167.988281 1742662682.2299
MEM 1167.562500 1742662682.3422
MEM 1167.562500 1742662682.4522
MEM 1167.562500 1742662682.5637
MEM 1167.562500 1742662682.6761
MEM 1167.562500 1742662682.7877
MEM 1167.875000 1742662682.8985
MEM 1167.875000 1742662683.0107
MEM 1167.875000 1742662683.1223
MEM 1167.875000 1742662683.2335
MEM 1167.875000 1742662683.3459
MEM 1168.007812 1742662683.4561
MEM 1168.007812 1742662683.5679
MEM 1168.007812 1742662683.6790
MEM 1168.007812 1742662683.7914
MEM 1168.007812 1742662683.9030
MEM 1168.007812 1742662684.0147
MEM 1168.007812 1742662684.1268
MEM 1168.007812 1742662684.2394
MEM 1168.007812 1742662684.3504
MEM 1168.042969 1742662684.4618
MEM 1168.042969 1742662684.5731
MEM 1168.042969 1742662684.6848
MEM 1168.042969 1742662684.7969
MEM 1168.042969 1742662684.9090
MEM 1168.042969 1742662685.0211
MEM 1168.042969 1742662685.1322
MEM 1168.042969 1742662685.2453
MEM 1168.042969 1742662685.3576
MEM 1168.433594 1742662685.4683
MEM 1168.433594 1742662685.5803
MEM 1168.433594 1742662685.6933
MEM 1168.433594 1742662685.8060
MEM 1168.433594 1742662685.9176
MEM 1168.433594 1742662686.0297
MEM 1168.433594 1742662686.1422
MEM 1168.433594 1742662686.2534
MEM 1168.433594 1742662686.3650
MEM 1168.511719 1742662686.4763
MEM 1168.511719 1742662686.5873
MEM 1168.511719 1742662686.6991
MEM 1168.511719 1742662686.8111
MEM 1168.511719 1742662686.9241
MEM 1168.511719 1742662687.0366
MEM 1168.511719 1742662687.1478
MEM 1168.511719 1742662687.2599
MEM 1168.511719 1742662687.3721
MEM 1168.511719 1742662687.4835
MEM 1168.554688 1742662687.5949
MEM 1168.554688 1742662687.7058
MEM 1168.554688 1742662687.8165
MEM 1168.554688 1742662687.9285
MEM 1168.554688 1742662688.0407
MEM 1168.554688 1742662688.1528
MEM 1168.554688 1742662688.2649
MEM 1168.554688 1742662688.3770
MEM 1168.554688 1742662688.4897
MEM 1168.562500 1742662688.6011
MEM 1168.562500 1742662688.7122
MEM 1168.562500 1742662688.8251
MEM 1168.562500 1742662688.9377
MEM 1168.562500 1742662689.0494
MEM 1168.562500 1742662689.1619
MEM 1168.562500 1742662689.2745
MEM 1168.562500 1742662689.3866
MEM 1168.562500 1742662689.4984
MEM 1168.636719 1742662689.6095
MEM 1168.636719 1742662689.7202
MEM 1168.636719 1742662689.8315
MEM 1168.636719 1742662689.9439
MEM 1168.636719 1742662690.0563
MEM 1168.636719 1742662690.1678
MEM 1168.636719 1742662690.2800
MEM 1168.636719 1742662690.3922
MEM 1168.636719 1742662690.5044
MEM 1168.898438 1742662690.6159
MEM 1168.898438 1742662690.7272
MEM 1168.898438 1742662690.8382
MEM 1168.898438 1742662690.9491
MEM 1168.898438 1742662691.0608
MEM 1168.898438 1742662691.1730
MEM 1168.898438 1742662691.2847
MEM 1168.898438 1742662691.3973
MEM 1168.898438 1742662691.5097
MEM 1168.898438 1742662691.6228
MEM 1168.914062 1742662691.7340
MEM 1168.914062 1742662691.8449
MEM 1168.914062 1742662691.9572
MEM 1168.914062 1742662692.0696
MEM 1168.914062 1742662692.1809
MEM 1168.914062 1742662692.2931
MEM 1168.914062 1742662692.4052
MEM 1168.914062 1742662692.5174
MEM 1168.914062 1742662692.6289
MEM 1168.984375 1742662692.7400
MEM 1168.984375 1742662692.8513
MEM 1168.984375 1742662692.9637
MEM 1168.984375 1742662693.0764
MEM 1168.984375 1742662693.1885
MEM 1168.984375 1742662693.3005
MEM 1168.984375 1742662693.4130
MEM 1168.984375 1742662693.5249
MEM 1168.984375 1742662693.6360
MEM 1168.984375 1742662693.7469
MEM 1168.984375 1742662693.8584
MEM 1168.984375 1742662693.9700
MEM 1168.984375 1742662694.0819
MEM 1168.984375 1742662694.1945
MEM 1168.984375 1742662694.3067
MEM 1168.984375 1742662694.4193
MEM 1168.984375 1742662694.5315
MEM 1168.984375 1742662694.6425
MEM 1169.046875 1742662694.7550
MEM 1169.046875 1742662694.8664
MEM 1169.046875 1742662694.9778
MEM 1169.046875 1742662695.0899
MEM 1169.046875 1742662695.2017
MEM 1169.046875 1742662695.3137
MEM 1169.046875 1742662695.4263
MEM 1169.046875 1742662695.5391
MEM 1169.046875 1742662695.6511
MEM 1169.046875 1742662695.7630
MEM 1169.050781 1742662695.8732
MEM 1169.050781 1742662695.9843
MEM 1169.050781 1742662696.0968
MEM 1169.050781 1742662696.2085
MEM 1169.050781 1742662696.3204
MEM 1169.050781 1742662696.4320
MEM 1169.050781 1742662696.5434
MEM 1169.050781 1742662696.6559
MEM 1169.050781 1742662696.7670
MEM 1169.050781 1742662696.8791
MEM 1169.050781 1742662696.9905
MEM 1169.050781 1742662697.1023
MEM 1169.050781 1742662697.2139
MEM 1169.050781 1742662697.3252
MEM 1169.050781 1742662697.4373
MEM 1169.050781 1742662697.5494
MEM 1169.050781 1742662697.6614
MEM 1169.050781 1742662697.7729
MEM 1169.082031 1742662697.8833
MEM 1169.082031 1742662697.9931
MEM 1169.082031 1742662698.1044
MEM 1169.082031 1742662698.2159
MEM 1169.082031 1742662698.3272
MEM 1169.082031 1742662698.4391
MEM 1169.082031 1742662698.5504
MEM 1169.082031 1742662698.6620
MEM 1169.082031 1742662698.7736
MEM 1169.082031 1742662698.8859
MEM 1169.238281 1742662698.9957
MEM 1169.238281 1742662699.1068
MEM 1169.238281 1742662699.2180
MEM 1169.238281 1742662699.3296
MEM 1169.238281 1742662699.4419
MEM 1169.238281 1742662699.5517
MEM 1169.238281 1742662699.6531
MEM 1169.238281 1742662699.7691
MEM 1169.238281 1742662699.8698
MEM 1169.308594 1742662699.9704
MEM 1169.308594 1742662700.0856
MEM 1169.308594 1742662700.1867
MEM 1169.308594 1742662700.3011
MEM 1169.308594 1742662700.4126
MEM 1169.308594 1742662700.5240
MEM 1169.308594 1742662700.6348
MEM 1169.308594 1742662700.7470
MEM 1169.308594 1742662700.8593
MEM 1169.433594 1742662700.9720
MEM 1169.437500 1742662701.0819
MEM 1169.437500 1742662701.1935
MEM 1169.437500 1742662701.3058
MEM 1169.437500 1742662701.4173
MEM 1169.437500 1742662701.5303
MEM 1169.437500 1742662701.6435
MEM 1169.437500 1742662701.7542
MEM 1169.437500 1742662701.8662
MEM 1169.437500 1742662701.9784
MEM 1169.437500 1742662702.0899
MEM 1169.437500 1742662702.2009
MEM 1169.437500 1742662702.3127
MEM 1169.437500 1742662702.4240
MEM 1169.437500 1742662702.5343
MEM 1169.437500 1742662702.6453
MEM 1169.437500 1742662702.7567
MEM 1169.437500 1742662702.8678
MEM 1169.437500 1742662702.9795
MEM 1169.437500 1742662703.0899
MEM 1169.437500 1742662703.2006
MEM 1169.437500 1742662703.3010
MEM 1169.437500 1742662703.4021
MEM 1169.437500 1742662703.5174
MEM 1169.437500 1742662703.6175
MEM 1169.437500 1742662703.7175
MEM 1169.437500 1742662703.8184
