CMDLINE C:\Programming\anaconda3\envs\cuda5\python.exe exec_reg_freesolv.py
MEM 1.964844 1742662760.1157
MEM 25.187500 1742662760.2275
MEM 34.949219 1742662760.3377
MEM 44.863281 1742662760.4480
MEM 196.199219 1742662760.5593
MEM 239.265625 1742662760.6706
MEM 260.683594 1742662760.7807
MEM 299.542969 1742662760.8822
MEM 321.910156 1742662760.9932
MEM 328.996094 1742662761.1032
MEM 336.972656 1742662761.2134
MEM 349.195312 1742662761.3145
MEM 358.199219 1742662761.4153
MEM 364.914062 1742662761.5162
MEM 370.171875 1742662761.6166
MEM 373.398438 1742662761.7312
MEM 388.152344 1742662761.8323
MEM 396.988281 1742662761.9339
MEM 405.824219 1742662762.0340
MEM 412.433594 1742662762.1451
MEM 413.320312 1742662762.2556
MEM 423.843750 1742662762.3667
MEM 438.683594 1742662762.4772
MEM 449.921875 1742662762.5890
MEM 456.562500 1742662762.6998
MEM 473.773438 1742662762.8100
MEM 485.746094 1742662762.9208
MEM 504.945312 1742662763.0315
MEM 514.023438 1742662763.1418
MEM 517.292969 1742662763.2526
MEM 523.507812 1742662763.3638
MEM 537.726562 1742662763.4744
MEM 547.484375 1742662763.5853
MEM 640.011719 1742662763.6962
MEM 679.566406 1742662763.8065
MEM 680.253906 1742662763.9166
MEM 681.082031 1742662764.0268
MEM 681.718750 1742662764.1373
MEM 682.218750 1742662764.2482
MEM 683.074219 1742662764.3585
MEM 683.992188 1742662764.4692
MEM 684.429688 1742662764.5795
MEM 685.089844 1742662764.6903
MEM 685.542969 1742662764.8018
MEM 686.222656 1742662764.9128
MEM 686.785156 1742662765.0237
MEM 695.164062 1742662765.1347
MEM 697.144531 1742662765.2457
MEM 709.003906 1742662765.3567
MEM 917.964844 1742662765.4675
MEM 1150.378906 1742662765.5774
FUNC model.Outer_EGCN_elastic.forward 716.5508 1742662765.3812 1084.6680 1742662765.5465 0
FUNC model.Outer_EGCN_elastic.forward 1252.6484 1742662765.6734 1252.7305 1742662765.6816 0
FUNC model.Outer_EGCN_elastic.forward 1252.7812 1742662765.6904 1252.7812 1742662765.6984 0
FUNC model.Outer_EGCN_elastic.forward 1252.8438 1742662765.7054 1252.8477 1742662765.7134 0
FUNC model.Outer_EGCN_elastic.forward 1252.8516 1742662765.7191 1252.8516 1742662765.7271 0
FUNC model.Outer_EGCN_elastic.forward 1252.8516 1742662765.7349 1252.8594 1742662765.7429 0
FUNC model.Outer_EGCN_elastic.forward 1252.9922 1742662765.7489 1253.0039 1742662765.7568 0
FUNC model.Outer_EGCN_elastic.forward 1253.0273 1742662765.7648 1253.0352 1742662765.7723 0
FUNC model.Outer_EGCN_elastic.forward 1253.0469 1742662765.7793 1253.0469 1742662765.7883 0
FUNC model.Outer_EGCN_elastic.forward 1253.1133 1742662765.7943 1253.1445 1742662765.8020 0
FUNC model.Outer_EGCN_elastic.forward 1253.1523 1742662765.8100 1253.1680 1742662765.8178 0
FUNC model.Outer_EGCN_elastic.forward 1253.1680 1742662765.8218 1253.2305 1742662765.8295 0
FUNC model.Outer_EGCN_elastic.forward 1253.2305 1742662765.8355 1253.2305 1742662765.8435 0
FUNC model.Outer_EGCN_elastic.forward 1253.2305 1742662765.8473 1253.2305 1742662765.8541 0
FUNC model.Outer_EGCN_elastic.forward 1253.5469 1742662765.8595 1253.5469 1742662765.8672 0
FUNC model.Outer_EGCN_elastic.forward 1253.6758 1742662765.8712 1253.7461 1742662765.8790 0
FUNC model.Outer_EGCN_elastic.forward 1253.7461 1742662765.8850 1253.7461 1742662765.8910 0
FUNC model.Outer_EGCN_elastic.forward 1253.7695 1742662765.8967 1253.7812 1742662765.9047 0
FUNC model.Outer_EGCN_elastic.forward 1253.8086 1742662765.9084 1253.8086 1742662765.9165 0
FUNC model.Outer_EGCN_elastic.forward 1253.8750 1742662765.9205 1253.8750 1742662765.9282 0
FUNC model.Outer_EGCN_elastic.forward 1253.9844 1742662765.9418 1253.9844 1742662765.9498 0
FUNC model.Outer_EGCN_elastic.forward 1253.9922 1742662765.9556 1254.1172 1742662765.9636 0
FUNC model.Outer_EGCN_elastic.forward 1254.1172 1742662765.9676 1254.1172 1742662765.9753 0
FUNC model.Outer_EGCN_elastic.forward 1254.1797 1742662765.9793 1254.2422 1742662765.9891 0
FUNC model.Outer_EGCN_elastic.forward 1254.2422 1742662765.9931 1254.2422 1742662766.0008 0
FUNC model.Outer_EGCN_elastic.forward 1254.2422 1742662766.0048 1254.2500 1742662766.0128 0
FUNC model.Outer_EGCN_elastic.forward 1254.2500 1742662766.0168 1254.2500 1742662766.0246 0
FUNC model.Outer_EGCN_elastic.forward 1254.2500 1742662766.0286 1254.2500 1742662766.0363 0
FUNC model.Outer_EGCN_elastic.forward 1254.2500 1742662766.0404 1254.2500 1742662766.0484 0
FUNC model.Outer_EGCN_elastic.forward 1254.2500 1742662766.0522 1254.2500 1742662766.0602 0
FUNC model.Outer_EGCN_elastic.forward 1254.2500 1742662766.0642 1254.2500 1742662766.0719 0
FUNC model.Outer_EGCN_elastic.forward 1254.2500 1742662766.0734 1254.2500 1742662766.0814 0
FUNC model.Outer_EGCN_elastic.forward 1254.2500 1742662766.0834 1254.2500 1742662766.0914 0
FUNC model.Outer_EGCN_elastic.forward 1254.3125 1742662766.0934 1254.3125 1742662766.1012 0
FUNC model.Outer_EGCN_elastic.forward 1254.3125 1742662766.1032 1254.3125 1742662766.1092 0
FUNC model.Outer_EGCN_elastic.forward 1254.3125 1742662766.1112 1254.3125 1742662766.1189 0
FUNC model.Outer_EGCN_elastic.forward 1254.3125 1742662766.1209 1254.3125 1742662766.1288 0
FUNC model.Outer_EGCN_elastic.forward 1254.3125 1742662766.1308 1254.3438 1742662766.1386 0
FUNC model.Outer_EGCN_elastic.forward 1254.3438 1742662766.1406 1254.3438 1742662766.1486 0
FUNC model.Outer_EGCN_elastic.forward 1254.3438 1742662766.1486 1254.3438 1742662766.1567 0
FUNC .integrating 1032.8320 1742662765.5307 1036.6797 1742662765.5307 1
FUNC .integrating 1252.6016 1742662765.6816 1252.6016 1742662765.6816 1
FUNC .integrating 1252.7812 1742662765.6964 1252.7812 1742662765.6964 1
FUNC .integrating 1252.8477 1742662765.7114 1252.8477 1742662765.7134 1
FUNC .integrating 1252.8516 1742662765.7271 1252.8516 1742662765.7271 1
FUNC .integrating 1252.8594 1742662765.7429 1252.8594 1742662765.7429 1
FUNC .integrating 1253.0039 1742662765.7568 1253.0039 1742662765.7568 1
FUNC .integrating 1253.0352 1742662765.7723 1253.0352 1742662765.7723 1
FUNC .integrating 1253.0469 1742662765.7863 1253.0469 1742662765.7863 1
FUNC .integrating 1253.1445 1742662765.8020 1253.1445 1742662765.8020 1
FUNC .integrating 1253.1523 1742662765.8178 1253.1523 1742662765.8178 1
FUNC .integrating 1253.2305 1742662765.8295 1253.2305 1742662765.8295 1
FUNC .integrating 1253.2305 1742662765.8415 1253.2305 1742662765.8415 1
FUNC .integrating 1253.2305 1742662765.8541 1253.2305 1742662765.8541 1
FUNC .integrating 1253.5469 1742662765.8672 1253.5469 1742662765.8672 1
FUNC .integrating 1253.7461 1742662765.8790 1253.7461 1742662765.8790 1
FUNC .integrating 1253.7461 1742662765.8910 1253.7461 1742662765.8910 1
FUNC .integrating 1253.7812 1742662765.9027 1253.7812 1742662765.9027 1
FUNC .integrating 1253.8086 1742662765.9165 1253.8086 1742662765.9165 1
FUNC .integrating 1253.8750 1742662765.9282 1253.8750 1742662765.9282 1
FUNC .integrating 1253.9844 1742662765.9498 1253.9844 1742662765.9498 1
FUNC .integrating 1253.9922 1742662765.9636 1253.9922 1742662765.9636 1
FUNC .integrating 1254.1172 1742662765.9753 1254.1172 1742662765.9753 1
FUNC .integrating 1254.2422 1742662765.9891 1254.2422 1742662765.9891 1
FUNC .integrating 1254.2422 1742662766.0008 1254.2422 1742662766.0008 1
FUNC .integrating 1254.2500 1742662766.0128 1254.2500 1742662766.0128 1
FUNC .integrating 1254.2500 1742662766.0246 1254.2500 1742662766.0246 1
FUNC .integrating 1254.2500 1742662766.0363 1254.2500 1742662766.0363 1
FUNC .integrating 1254.2500 1742662766.0464 1254.2500 1742662766.0464 1
FUNC .integrating 1254.2500 1742662766.0602 1254.2500 1742662766.0602 1
FUNC .integrating 1254.2500 1742662766.0719 1254.2500 1742662766.0719 1
FUNC .integrating 1254.2500 1742662766.0814 1254.2500 1742662766.0814 1
FUNC .integrating 1254.2500 1742662766.0914 1254.2500 1742662766.0914 1
FUNC .integrating 1254.3125 1742662766.1012 1254.3125 1742662766.1012 1
FUNC .integrating 1254.3125 1742662766.1092 1254.3125 1742662766.1092 1
FUNC .integrating 1254.3125 1742662766.1189 1254.3125 1742662766.1189 1
FUNC .integrating 1254.3125 1742662766.1288 1254.3125 1742662766.1288 1
FUNC .integrating 1254.3438 1742662766.1386 1254.3438 1742662766.1386 1
FUNC .integrating 1254.3438 1742662766.1466 1254.3438 1742662766.1466 1
FUNC .integrating 1254.3438 1742662766.1567 1254.3438 1742662766.1567 1
MEM 1252.781250 1742662765.6876
MEM 1253.113281 1742662765.7980
MEM 1253.796875 1742662765.9084
MEM 1254.250000 1742662766.0186
MEM 1254.312500 1742662766.1288
MEM 1254.402344 1742662766.2390
MEM 1254.437500 1742662766.3500
MEM 1253.949219 1742662766.4601
